alpha1,E,var(E)
0.25,-2.874289588,0.001392234
0.3,-2.871801594,0.001551044
0.275120057,-2.872740984,0.001366598
0.256241594,-2.87324642,0.001377498
0.242855009,-2.875120265,0.001343267
0.172865373,-2.877807111,0.001310974
0.153670772,-2.878083195,0.001186608
0.14647905,-2.878018072,0.001239781
0.151006723,-2.878019149,0.00124445
0.159416248,-2.87829165,0.001211914
0.141443174,-2.87766366,0.001203889
0.142491391,-2.878296241,0.001198569
0.160595874,-2.877643375,0.001213772
0.159514043,-2.878284003,0.001230075
0.141748926,-2.878583131,0.001163871
0.141243788,-2.878377658,0.001195214
0.15344677,-2.877854012,0.001245263
0.15215943,-2.878715475,0.001254595
0.13208401,-2.878315484,0.001195493
